ID;descrizione;prezzo;data_ins_prezzo;fornitore;settore
26;Tubo multistrato multy d. 26 rotoli isolato al MT;2,2;26/07/2017;Unicom;multy
27;Tubo rame clima 3/8x0,8 al mt;1,965;26/07/2017;Unicom;Clima
28;Tubo rame clima 1/4x0,8;1,36;26/07/2017;Unicom;clima
29;----------------------------;132;15/10/2016;Unicom;geberit
30;---------------------;86;15/10/2016;Unicom;geberit
31;Tubo rame isostar grigio 12x1  preisolato in rotolo al mt;3,17;01/08/2017;Unicom;rame
32;"Manicotto OTT5520 MM fil 1"" ottone";1,64;01/08/2017;Unicom;ottone
33;"Manicotto  5270OT FF 1/2"" ottone";1,37;01/08/2017;Unicom;ottone
34;Condizionatore Mitsubishi MXZ-3F54VFnità esterna;1212,2;21/02/2019;Unicom;condizionatore
35;Condizionatore Mitsubishi MSZ-AP25VG unità interna;295;21/02/2019;Unicom;condizionatore
